text,sentiment
the movie begins in the past where a young boy named sam attempts to save celebi from a hunter .,Objective
"smart and alert , thirteen conversations about one thing is a small gem .",Subjective
"emerging from the human psyche and showing characteristics of abstract expressionism , minimalism and russian constructivism , graffiti removal has secured its place in the history of modern art while being created by artists who are unconscious of their artistic achievements .",Objective
"color , musical bounce and warm seas lapping on island shores . and just enough science to send you home thinking .",Subjective
"spurning her mother's insistence that she get on with her life , mary is thrown out of the house , rejected by joe , and expelled from school as she grows larger with child .",Objective
it is not a mass-market entertainment but an uncompromising attempt by one artist to think about another .,Subjective
"amitabh can't believe the board of directors and his mind is filled with revenge and what better revenge than robbing the bank himself , ironic as it may sound .",Objective
a light-hearted french film about the spiritual quest of a fashion model seeking peace of mind while in a love affair with a veterinarian who is a non-practicing jew .,Subjective
"she , among others excentricities , talks to a small rock , gertrude , like if she was alive .",Objective
"my wife is an actress has its moments in looking at the comic effects of jealousy . in the end , though , it is only mildly amusing when it could have been so much more .",Subjective
this gives the girls a fair chance of pulling the wool over their eyes using their sexiness to poach any last vestige of common sense the dons might have had .,Objective
works both as an engaging drama and an incisive look at the difficulties facing native americans .,Subjective
"styled after vh1's "" behind the music , "" this mockumentary profiles the rise and fall of an internet startup , called icevan . com .",Objective
"even a hardened voyeur would require the patience of job to get through this interminable , shapeless documentary about the swinging subculture .",Subjective
being blue is not his only predicament ; he also lacks the ability to outwardly express his emotions .,Objective
"when perry fists a bull at the moore farm , it's only a matter of time before he gets the upper hand in matters of the heart .",Subjective
"the killer's clues are a perversion of biblical punishments for sins : stoning , burning , decapitation .",Objective
"the characters . . . are paper-thin , and their personalities undergo radical changes when it suits the script .",Subjective
david is a painter with painter's block who takes a job as a waiter to get some inspiration .,Objective
"the script is a tired one , with few moments of joy rising above the stale material .",Subjective
women craved him and men wanted to be him .,Objective
"the bland outweighs the nifty , and cletis tout never becomes the clever crime comedy it thinks it is .",Subjective
"set on an island off the coast of florida , a techno rave party attracts a diverse group of college coeds and a coast guard officer .",Objective
directed by david twohy with the same great eye for eerie understatement that he brought to pitch black .,Subjective
"lesson to be learned : never , never mess with "" the gay mafia ! """,Objective
it's a very tasteful rock and roll movie . you could put it on a coffee table anywhere .,Subjective
the theme of the film simultaneously addresses the similarities between the two factions of law and crime while revealing the similarities between the two brothers .,Objective
"provides the kind of 'laugh therapy' i need from movie comedies -- offbeat humor , amusing characters , and a happy ending . after seeing 'analyze that , ' i feel better already .",Subjective
"they're jewish , they're grandmothers , and they're lesbians .",Objective
"worth a look by those on both sides of the issues , if only for the perspective it offers , one the public rarely sees .",Subjective
"but he's neglecting his work , carping at his mom , and behaving badly toward his loyal friend bobbi .",Objective
watching the film is like reading a times portrait of grief that keeps shifting focus to the journalist who wrote it .,Subjective
"with all this going on , gerry's estranged wife margaret is worried for her daughter's safety and finds herself another target in the race to find the code .",Objective
"despite these annoyances , the capable clayburgh and tambor really do a great job of anchoring the characters in the emotional realities of middle age .",Subjective
valento feels the heat and turns the table : he makes the dupe into one of his own and rubs the da's nose in it .,Objective
"it's a good thing that woolly mammoths are extinct , because this movie will have every kid in the schoolyard wishing for their very own .",Subjective
"saigon , 1952 , a beautiful , exotic , and mysterious city caught in the grips of the vietnamese war of liberation from the french colonial powers .",Objective
"preposterous and tedious , sonny is spiked with unintentional laughter that , unfortunately , occurs too infrequently to make the film even a guilty pleasure .",Subjective
